ID;createdAt;createdBy;word;translation;imageSrc;audioSrc;category_id;
5;2021-04-27;hanna.kaliada@leverx.com;to open;открывать;https://media.istockphoto.com/photos/small-business-owner-picture-id1346252956?b=1&k=20&m=1346252956&s=170667a&w=0&h=mMAN6-8ighJTYZadZhKEErzcNz0o_xDH2avCsGkKBZg=;https://api.dictionaryapi.dev/media/pronunciations/en/open-uk.mp3;1;
6;2021-04-27;hanna.kaliada@leverx.com;to buy;покупать;https://media.istockphoto.com/id/1159900414/photo/healthy-food-for-healthy-life.jpg?b=1&s=170667a&w=0&k=20&c=1ReC9Crq4j7VzYFO5awfS6PoG1GAH9m7785nZOO2cYQ=;https://api.dictionaryapi.dev/media/pronunciations/en/buy-uk.mp3;1;
7;2021-04-27;hanna.kaliada@leverx.com;a cat;кот;https://cdn.pixabay.com/photo/2017/02/20/18/03/cat-2083492__340.jpg;https://api.dictionaryapi.dev/media/pronunciations/en/cat-uk.mp3;3;
8;2021-04-27;hanna.kaliada@leverx.com;a dog;собака;https://www.princeton.edu/sites/default/files/styles/half_2x/public/images/2022/02/KOA_Nassau_2697x1517.jpg?itok=iQEwihUn;https://api.dictionaryapi.dev/media/pronunciations/en/dog-uk.mp3;3;
9;2021-04-27;hanna.kaliada@leverx.com;to cry;плакать;https://media.istockphoto.com/id/1374841003/photo/young-woman-crying.jpg?b=1&s=170667a&w=0&k=20&c=reeTXWnW_U-5qofNFm09nqKQBtap7Y8CFBEhvCECWYo=;https://api.dictionaryapi.dev/media/pronunciations/en/cry.mp3;2;
11;2021-04-27;hanna.kaliada@leverx.com;to go;идти;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrGOsvKrQ9PL4TsEljh0ZZQB6pGuZFtkj57Q&usqp=CAU;https://api.dictionaryapi.dev/media/pronunciations/en/go-1-au.mp3;1;
12;2021-04-27;hanna.kaliada@leverx.com;to run;бегать;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScDdMK1ZYXViBMoZF22mmXV95Ev2KqsQ_Zfeh5lvK-G7aPe8W0I63KYpOk_cayNpveS2s&usqp=CAU;https://api.dictionaryapi.dev/media/pronunciations/en/run-us.mp3;1;
17;2021-04-27;hanna.kaliada@leverx.com;to swim;плавать;https://cdn.britannica.com/66/162466-131-47ADB66F/Man-butterfly-stroke-pool.jpg;https://api.dictionaryapi.dev/media/pronunciations/en/swim-1-us.mp3;1;
13;2021-04-27;hanna.kaliada@leverx.com;an elephant;слон;https://www.wwf.org.uk/sites/default/files/styles/social_share_image/public/2018-10/Large_WW1113482.jpg?itok=Bluh496C;https://api.dictionaryapi.dev/media/pronunciations/en/elephant-us.mp3;3;
14;2021-04-27;hanna.kaliada@leverx.com;a snake;змея;https://sunmag.me/wp-content/uploads/2019/12/sunmag-0-22.jpg;https://api.dictionaryapi.dev/media/pronunciations/en/snake-us.mp3;3;
15;2021-04-27;hanna.kaliada@leverx.com;sad;грустный;https://rolling-scopes-school.github.io/annakoliada-JSFE2021Q1/english-for-kids-admin-panel/img/sad.jpg;https://api.dictionaryapi.dev/media/pronunciations/en/sad-1-us.mp3;2;
16;2021-04-27;hanna.kaliada@leverx.com;tired;уставший;https://rolling-scopes-school.github.io/annakoliada-JSFE2021Q1/english-for-kids-admin-panel/img/tired.jpg;https://api.dictionaryapi.dev/media/pronunciations/en/tired-uk.mp3;2;
18;2021-04-27;hanna.kaliada@leverx.com;scared;испуганный;https://rolling-scopes-school.github.io/annakoliada-JSFE2021Q1/english-for-kids-admin-panel/img/scared.jpg;https://api.dictionaryapi.dev/media/pronunciations/en/scared-uk.mp3;2;

